Cód. IBGE,Núcleo Regional de Saúde (NRS),Município,Crianças 6 meses a 2 anos - D1,Crianças 3 a 4 anos - D1,Crianças 5 a 11 anos - D1,Adolescentes 12 a 17 anos - D1,Pessoas 18 a 19 anos - D1,Pessoas 20 a 29 anos - D1,Pessoas 30 a 39 anos - D1,Pessoas 40 a 49 anos - D1,Pessoas 50 a 59 anos - D1,Idosos 60 a 69 anos - D1,Idosos 70 a 79 anos - D1,Idosos 80 anos + - D1,Total de Doses Aplicadas - D1,Crianças 6 meses a 2 anos - D2,Crianças 3 a 4 anos - D2,Crianças 5 a 11 anos - D2,Adolescentes 12 a 17 anos - D2,Pessoas 18 a 19 anos - D2,Pessoas 20 a 29 anos - D2,Pessoas 30 a 39 anos - D2,Pessoas 40 a 49 anos - D2,Pessoas 50 a 59 anos - D2,Idosos 60 a 69 anos - D2,Idosos 70 a 79 anos - D2,Idosos 80 anos + - D2,Total de Doses Aplicadas - D2,Crianças 6 meses a 2 anos - 3ª Dose/Ref,Crianças 3 a 4 anos - 3ª Dose,Crianças 3 a 4 anos - Reforço,Crianças 5 a 11 anos - Reforço,Adolescentes 12 a 17 anos - Reforço,Pessoas 18 a 19 anos - Reforço,Pessoas 20 a 29 anos - Reforço,Pessoas 30 a 39 anos - Reforço,Pessoas 40 a 49 anos - Reforço,Pessoas 50 a 59 anos - Reforço,Idosos 60 a 69 anos - Reforço,Idosos 70 a 79 anos - Reforço,Idosos 80 anos + - Reforço,Total de Doses Aplicadas - D3,Pessoas 18 a 19 anos - 2º Reforço,Pessoas 20 a 29 anos - 2º Reforço,Pessoas 30 a 39 anos - 2º Reforço,Pessoas 40 a 49 anos - 2º Reforço,Pessoas 50 a 59 anos - 2º Reforço,Idosos 60 a 69 anos - 2º Reforço,Idosos 70 a 79 anos - 2º Reforço,Idosos 80 anos + - 2º Reforço,Total de Doses Aplicadas - 2º Reforço,Adolescentes 12 a 17 anos - Ref Bivalente,Pessoas 18 a 19 anos - Ref Bivalente,Pessoas 20 a 29 anos - Ref Bivalente,Pessoas 30 a 39 anos - Ref Bivalente,Pessoas 40 a 49 anos - Ref Bivalente,Pessoas 50 a 59 anos - Ref Bivalente,Idosos 60 a 69 anos - Ref Bivalente,Idosos 70 a 79 anos - Ref Bivalente,Idosos 80 anos + - Ref Bivalente,Total de Doses Aplicadas - REF
293010,Norte,Senhor do Bonfim,413,630,5682,6420,2425,10800,10378,10265,8545,6341,5864,1886,62924,167,384,3740,5699,2214,10330,10477,9579,6857,5221,4023,1777,56177,42,51,50,324,2506,1527,5946,6663,7205,5927,4957,2561,1008,38300,197,1273,1790,3159,2989,2834,1827,1299,15368,113,142,727,809,1080,1153,1482,996,541,7043
293020,Norte,Sento Sé,225,418,3334,3942,1393,5924,5242,4490,3286,2301,1221,737,28536,55,198,2530,2960,1182,4931,4743,4148,3418,2546,1207,618,25753,5,0,8,583,1335,646,2701,3342,3272,2679,1888,1122,554,17539,107,859,1386,1669,1565,1244,724,513,8067,56,6,43,63,58,54,492,368,190,1330
293015,Oeste,Serra do Ramalho,281,411,3095,3488,1442,4796,4670,3640,2909,2187,1424,837,25393,129,111,2482,3148,1426,4270,4281,3510,2887,2100,1439,727,23788,15,1,3,85,1467,520,2507,2717,2105,2224,1754,1261,535,15090,81,581,755,921,1059,1032,678,291,5398,163,38,247,288,319,251,680,534,218,2738
293030,Oeste,Serra Dourada,0,34,1399,1562,432,1914,2286,2141,1971,1531,977,552,13366,0,14,1083,1358,397,1874,2343,2132,1898,1542,959,602,13105,0,0,0,0,533,229,1093,1450,1735,1554,1343,934,487,9358,2,28,142,517,727,780,577,300,3073,0,0,0,0,0,0,0,0,0,0
293040,Centro-Leste,Serra Preta,0,68,1160,1506,277,2163,2139,1954,1811,1401,1011,668,12930,0,25,864,1394,484,1967,1940,1857,1726,1402,965,647,12382,0,0,0,0,232,288,1148,1234,1407,1341,1157,841,601,8249,53,281,446,571,760,601,404,243,3359,0,0,0,0,0,0,0,0,0,0
293050,Centro-Leste,Serrinha,110,484,3252,698,4622,6409,11858,10616,8404,6482,3146,2275,54510,33,143,4344,5100,3644,11333,11388,13031,6779,8818,3085,2078,65256,0,0,0,0,1742,1780,9289,7787,6844,7361,7915,2917,1873,47508,240,1492,1503,3288,2728,2282,1480,1038,14051,0,0,0,0,0,0,0,0,0,0
293060,Centro-norte,Serrolândia,53,105,840,1054,402,1493,1610,1471,1270,1434,967,629,10330,41,36,744,994,408,1434,1723,1283,1216,1348,1005,609,10020,9,0,10,14,301,153,728,951,1097,955,885,672,367,6109,12,112,242,418,431,449,224,148,2036,58,21,81,129,126,164,320,273,94,1266
293070,Leste,Simões Filho,178,865,8532,11337,3923,20442,20225,18824,12571,7543,3580,1502,99947,69,364,6045,9409,3563,18795,19109,17891,12175,7576,3542,1515,93575,34,2,11,212,4453,2386,12543,13338,13075,12703,6771,3289,1308,69866,386,2564,4246,6088,5340,5047,2424,888,26983,20,121,688,854,1210,1180,2008,1245,332,7658
293075,Oeste,Sítio do Mato,144,219,1153,1431,364,1457,1508,1228,1000,820,453,237,8498,50,52,993,1189,304,1310,1606,970,870,754,430,191,7624,4,0,14,251,562,186,753,1013,894,859,598,313,178,5356,32,188,310,364,349,327,176,86,1832,42,34,122,211,218,235,248,168,131,1409
293076,Nordeste,Sítio do Quinto,67,128,882,1078,498,962,1722,1410,1195,954,735,405,8959,20,76,708,1072,494,837,1599,1258,1167,843,629,394,8293,0,5,42,106,362,217,796,1016,1073,1078,848,398,200,5988,62,344,481,792,640,596,381,198,3494,0,14,71,139,119,178,231,226,141,1119
