Cód. IBGE,Núcleo Regional de Saúde (NRS),Município,Crianças 6 meses a 2 anos - D1,Crianças 3 a 4 anos - D1,Crianças 5 a 11 anos - D1,Adolescentes 12 a 17 anos - D1,Pessoas 18 a 19 anos - D1,Pessoas 20 a 29 anos - D1,Pessoas 30 a 39 anos - D1,Pessoas 40 a 49 anos - D1,Pessoas 50 a 59 anos - D1,Idosos 60 a 69 anos - D1,Idosos 70 a 79 anos - D1,Idosos 80 anos + - D1,Total de Doses Aplicadas - D1,Crianças 6 meses a 2 anos - D2,Crianças 3 a 4 anos - D2,Crianças 5 a 11 anos - D2,Adolescentes 12 a 17 anos - D2,Pessoas 18 a 19 anos - D2,Pessoas 20 a 29 anos - D2,Pessoas 30 a 39 anos - D2,Pessoas 40 a 49 anos - D2,Pessoas 50 a 59 anos - D2,Idosos 60 a 69 anos - D2,Idosos 70 a 79 anos - D2,Idosos 80 anos + - D2,Total de Doses Aplicadas - D2,Crianças 6 meses a 2 anos - 3ª Dose/Ref,Crianças 3 a 4 anos - 3ª Dose,Crianças 3 a 4 anos - Reforço,Crianças 5 a 11 anos - Reforço,Adolescentes 12 a 17 anos - Reforço,Pessoas 18 a 19 anos - Reforço,Pessoas 20 a 29 anos - Reforço,Pessoas 30 a 39 anos - Reforço,Pessoas 40 a 49 anos - Reforço,Pessoas 50 a 59 anos - Reforço,Idosos 60 a 69 anos - Reforço,Idosos 70 a 79 anos - Reforço,Idosos 80 anos + - Reforço,Total de Doses Aplicadas - D3,Pessoas 18 a 19 anos - 2º Reforço,Pessoas 20 a 29 anos - 2º Reforço,Pessoas 30 a 39 anos - 2º Reforço,Pessoas 40 a 49 anos - 2º Reforço,Pessoas 50 a 59 anos - 2º Reforço,Idosos 60 a 69 anos - 2º Reforço,Idosos 70 a 79 anos - 2º Reforço,Idosos 80 anos + - 2º Reforço,Total de Doses Aplicadas - 2º Reforço,Adolescentes 12 a 17 anos - Ref Bivalente,Pessoas 18 a 19 anos - Ref Bivalente,Pessoas 20 a 29 anos - Ref Bivalente,Pessoas 30 a 39 anos - Ref Bivalente,Pessoas 40 a 49 anos - Ref Bivalente,Pessoas 50 a 59 anos - Ref Bivalente,Idosos 60 a 69 anos - Ref Bivalente,Idosos 70 a 79 anos - Ref Bivalente,Idosos 80 anos + - Ref Bivalente,Total de Doses Aplicadas - REF
293300,Centro-Leste,Valente,48,111,1655,2190,722,3254,3718,3540,2780,2007,1305,667,20183,32,67,1225,1970,675,2961,3438,3488,2992,1915,1281,676,19396,11,0,0,45,731,432,2057,2586,3101,2666,1472,1111,576,14732,19,53,95,124,83,909,759,368,2410,0,10,35,36,69,85,338,311,179,1063
293305,Centro-norte,Várzea da Roça,77,104,937,1146,451,2054,1956,1601,1343,996,729,405,10681,20,42,789,989,349,1741,1730,1273,1331,1033,741,417,9604,13,0,0,84,328,235,1042,1581,850,755,622,536,342,6291,54,263,404,556,575,496,377,205,2930,3,20,76,145,146,150,53,182,114,889
293310,Centro-norte,Várzea do Poço,100,128,681,888,245,1036,1181,1074,960,773,510,280,6947,62,77,631,683,194,1011,1152,957,944,746,490,270,6447,22,6,11,182,400,139,656,877,867,865,698,499,283,5284,45,170,370,432,510,451,309,232,2519,3,28,157,227,262,274,428,340,196,1915
293315,Centro-norte,Várzea Nova,94,232,1268,1470,308,1461,1393,1253,1005,1041,745,95,8771,29,71,942,1459,332,1371,1751,1526,1078,943,744,334,9538,5,1,13,224,525,210,1038,1219,1313,1255,966,658,168,7352,31,207,525,862,870,704,607,263,4069,5,63,126,167,166,205,444,358,185,1719
293317,Leste,Varzedo,39,70,673,937,162,1747,1582,1559,1141,708,528,351,8715,23,35,478,733,292,1321,1383,1131,867,116,24,33,5900,0,0,2,24,250,138,737,799,768,694,535,399,239,4559,32,130,248,333,370,348,231,110,1802,1,9,56,86,84,124,181,186,103,830
293320,Leste,Vera Cruz,8,1399,4010,3680,1897,6905,5824,7193,5439,3773,1912,692,37315,60,692,2910,2872,1870,6498,5420,6639,4776,4193,1912,692,34872,0,0,0,0,0,1735,4350,2772,2317,1426,1192,1620,676,16088,1520,2985,980,1060,845,1350,1370,458,10568,4,6,70,147,135,125,97,44,47,675
293325,Extremo Sul,Vereda,0,52,554,630,221,903,884,770,805,660,357,201,5431,0,40,417,415,161,747,809,711,749,636,346,220,4794,0,0,0,0,173,97,455,655,781,734,516,291,165,3867,19,113,175,256,370,344,219,98,1594,0,0,0,0,0,0,0,0,0,0
293330,Sudoeste,Vitória da Conquista,1820,3357,30420,33954,27153,66597,58306,65249,97442,14255,18244,10127,391327,822,2514,17192,24836,21981,72839,25840,44892,13282,20830,10114,5018,239632,205,0,197,739,12195,11231,42424,36038,39289,27097,26767,9319,7438,211798,2381,6675,9692,17047,16987,12722,7346,3152,76002,123,879,2788,3094,3406,3169,6626,3823,2040,25948
293340,Centro-Leste,Wagner,37,126,744,729,331,1190,1256,1116,866,611,455,235,6789,53,89,576,740,270,1125,1235,1085,704,633,461,223,6476,18,0,3,0,338,99,601,723,737,721,561,412,289,4481,16,142,220,277,387,360,200,206,1808,5,27,66,113,127,139,247,179,96,999
293345,Oeste,Wanderley,73,83,907,1145,507,2251,2102,1546,1604,1374,606,324,11459,30,25,586,1070,260,1505,1733,1518,1259,1155,580,271,9351,0,0,0,0,334,168,742,969,1028,1078,851,544,244,5958,37,194,328,347,507,421,250,127,2211,0,6,37,85,96,101,101,96,147,669
293350,Sul,Wenceslau Guimarães,119,17,1597,2462,990,3529,3510,2581,2025,2131,1724,700,19652,28,17,900,1913,914,2653,2579,2108,2160,1539,983,588,15437,0,0,0,2,95,159,1049,1319,1080,1071,856,344,215,6188,18,112,133,152,139,185,137,72,948,0,0,5,16,21,30,133,113,79,397
293360,Centro-norte,Xique-Xique,0,210,4677,5002,1680,6348,7159,5516,4059,3244,2041,1104,36153,0,80,4437,4150,1615,6260,6809,5341,4004,3156,1923,1104,34362,0,0,0,0,3009,874,1639,2835,5420,4059,3250,2058,1111,24255,355,410,1697,2112,2243,2929,2100,750,12596,0,0,0,0,0,0,0,0,0,0
,Regionais de Saúde,Regionais de Saúde,57383,130400,1092731,1265879,609292,2161015,2217585,2033415,1608879,1143391,668399,375239,12083094,26761,61629,760186,1019855,540336,1948908,2042731,1835730,1439845,1113381,636974,349609,10927369,7521,3478,6512,57537,470556,319544,1167539,1385322,1451548,1202785,953512,559761,307643,7818210,92464,345355,519653,699871,675261,586636,359430,204781,3483451,6986,19119,82489,112253,140485,149948,264771,200212,105847,1082110
