Sigla,Código,Município,2022,
BA,2900108,Abaíra,505,
BA,2900207,Abaré,1226,
BA,2900306,Acajutiba,899,
BA,2900355,Adustina,996,
BA,2900405,Água Fria,1063,
BA,2900504,Érico Cardoso,765,
BA,2900603,Aiquara,315,
BA,2900702,Alagoinhas,11134,
BA,2900801,Alcobaça,1811,
BA,2900900,Almadina,373,
BA,2901007,Amargosa,2527,
BA,2901106,Amélia Rodrigues,1714,
BA,2901155,América Dourada,1071,
BA,2901205,Anagé,1852,
BA,2901304,Andaraí,889,
BA,2901353,Andorinha,1174,
BA,2901403,Angical,1007,
BA,2901502,Anguera,830,
BA,2901601,Antas,1053,
BA,2901700,Antônio Cardoso,672,
BA,2901809,Antônio Gonçalves,813,
BA,2901908,Aporá,1092,
BA,2901957,Apuarema,476,
BA,2902005,Aracatu,978,
BA,2902054,Araças,775,
BA,2902104,Araci,3323,
BA,2902203,Aramari,733,
BA,2902252,Arataca,819,
BA,2902302,Aratuípe,662,
BA,2902401,Aurelino Leal,712,
BA,2902500,Baianópolis,1069,
BA,2902609,Baixa Grande,1234,
BA,2902658,Banzaê,839,
BA,2902708,Barra,3380,
BA,2902807,Barra da Estiva,1847,
BA,2902906,Barra do Choça,2640,
BA,2903003,Barra do Mendes,996,
BA,2903102,Barra do Rocha,443,
BA,2903201,Barreiras,11456,
BA,2903235,Barro Alto,1007,
BA,2903276,Barrocas,1132,
BA,2903300,Governador Lomanto Júnior,421,
BA,2903409,Belmonte,1423,
BA,2903508,Belo Campo,1229,
BA,2903607,Biritinga,1104,
BA,2903706,Boa Nova,978,
BA,2903805,Boa Vista do Tupim,1139,
BA,2903904,Bom Jesus da Lapa,4441,
BA,2903953,Bom Jesus da Serra,673,
BA,2904001,Boninal,952,
BA,2904050,Bonito,1089,
BA,2904100,Boquira,1282,
BA,2904209,Botuporã,757,
BA,2904308,Brejões,927,
BA,2904407,Brejolândia,708,
BA,2904506,Brotas de Macaúbas,820,
BA,2904605,Brumado,5350,
BA,2904704,Buerarema,959,
BA,2904753,Buritirama,1492,
BA,2904803,Caatiba,485,
BA,2904852,Cabaceiras do Paraguaçu,1075,
BA,2904902,Cachoeira,2147,
BA,2905008,Caculé,1595,
BA,2905107,Caém,695,
BA,2905156,Caetanos,822,
BA,2905206,Caetité,3538,
BA,2905305,Cafarnaum,1248,
BA,2905404,Cairu,1318,
BA,2905503,Caldeirão Grande,887,
BA,2905602,Camacan,1490,
BA,2905701,Camaçari,23779,
BA,2905800,Camamu,1906,
BA,2905909,Campo Alegre de Lourdes,2093,
BA,2906006,Campo Formoso,5083,
BA,2906105,Canápolis,729,
BA,2906204,Canarana,1725,
BA,2906303,Canavieiras,2365,
BA,2906402,Candeal,600,
BA,2906501,Candeias,5412,
BA,2906600,Candiba,922,
BA,2906709,Cândido Sales,1785,
BA,2906808,Cansanção,2523,
BA,2906824,Canudos,1157,
BA,2906857,Capela do Alto Alegre,772,
BA,2906873,Capim Grosso,2274,
BA,2906899,Caraíbas,736,
BA,2906907,Caravelas,1504,
BA,2907004,Cardeal da Silva,493,
BA,2907103,Carinhanha,1997,
BA,2907202,Casa Nova,5099,
BA,2907301,Castro Alves,1815,
BA,2907400,Catolândia,273,
BA,2907509,Catu,3602,
