Sigla,Código,Município,2022,
BA,2907558,Caturama,664,
BA,2907608,Central,1168,
BA,2907707,Chorrochó,752,
BA,2907806,Cícero Dantas,2059,
BA,2907905,Cipó,1214,
BA,2908002,Coaraci,1161,
BA,2908101,Cocos,1330,
BA,2908200,Conceição da Feira,1536,
BA,2908309,Conceição do Almeida,1140,
BA,2908408,Conceição do Coité,4933,
BA,2908507,Conceição do Jacuípe,2666,
BA,2908606,Conde,1484,
BA,2908705,Condeúba,1276,
BA,2908804,Contendas do Sincorá,301,
BA,2908903,Coração de Maria,1937,
BA,2909000,Cordeiros,570,
BA,2909109,Coribe,996,
BA,2909208,Coronel João Sá,1212,
BA,2909307,Correntina,2278,
BA,2909406,Cotegipe,899,
BA,2909505,Cravolândia,333,
BA,2909604,Crisópolis,1455,
BA,2909703,Cristópolis,938,
BA,2909802,Cruz das Almas,4376,
BA,2909901,Curaçá,2427,
BA,2910008,Dário Meira,799,
BA,2910057,Dias d'Ávila,5515,
BA,2910107,Dom Basílio,867,
BA,2910206,Dom Macedo Costa,332,
BA,2910305,Elísio Medrado,577,
BA,2910404,Encruzilhada,1388,
BA,2910503,Entre Rios,2718,
BA,2910602,Esplanada,2200,
BA,2910701,Euclides da Cunha,4367,
BA,2910727,Eunápolis,8281,
BA,2910750,Fátima,1263,
BA,2910776,Feira da Mata,429,
BA,2910800,Feira de Santana,44648,
BA,2910859,Filadélfia,1356,
BA,2910909,Firmino Alves,340,
BA,2911006,Floresta Azul,788,
BA,2911105,Formosa do Rio Preto,1713,
BA,2911204,Gandu,2481,
BA,2911253,Gavião,314,
BA,2911303,Gentio do Ouro,780,
BA,2911402,Glória,1054,
BA,2911501,Gongogi,412,
BA,2911600,Governador Mangabeira,1508,
BA,2911659,Guajeru,551,
BA,2911709,Guanambi,6257,
BA,2911808,Guaratinga,1479,
BA,2911857,Heliópolis,908,
BA,2911907,Iaçu,1687,
BA,2912004,Ibiassucê,760,
BA,2912103,Ibicaraí,1498,
BA,2912202,Ibicoara,1439,
BA,2912301,Ibicuí,1022,
BA,2912400,Ibipeba,1281,
BA,2912509,Ibipitanga,948,
BA,2912608,Ibiquera,288,
BA,2912707,Ibirapitanga,1772,
BA,2912806,Ibirapuã,634,
BA,2912905,Ibirataia,1347,
BA,2913002,Ibitiara,1086,
BA,2913101,Ibititá,1234,
BA,2913200,Ibotirama,1798,
BA,2913309,Ichu,402,
BA,2913408,Igaporã,1097,
BA,2913457,Igrapiúna,966,
BA,2913507,Iguaí,1562,
BA,2913606,Ilhéus,12990,
BA,2913705,Inhambupe,2350,
BA,2913804,Ipecaetá,872,
BA,2913903,Ipiaú,2871,
BA,2914000,Ipirá,3866,
BA,2914109,Ipupiara,691,
BA,2914208,Irajuba,432,
BA,2914307,Iramaia,778,
BA,2914406,Iraquara,1592,
BA,2914505,Irará,1921,
BA,2914604,Irecê,5407,
BA,2914653,Itabela,1883,
BA,2914703,Itaberaba,4647,
BA,2914802,Itabuna,13221,
BA,2914901,Itacaré,2107,
BA,2915007,Itaeté,842,
BA,2915106,Itagi,1027,
BA,2915205,Itagibá,1159,
BA,2915304,Itagimirim,461,
BA,2915353,Itaguaçu da Bahia,845,
BA,2915403,Itaju do Colônia,396,
BA,2915502,Itajuípe,1322,
BA,2915601,Itamaraju,4333,
BA,2915700,Itamari,518,
BA,2915809,Itambé,1956,
BA,2915908,Itanagra,386,
BA,2916005,Itanhém,1240,
BA,2916104,Itaparica,1439,
BA,2916203,Itapé,776,
BA,2916302,Itapebi,635,
BA,2916401,Itapetinga,4790,
BA,2916500,Itapicuru,2223,
BA,2916609,Itapitanga,789,
BA,2916708,Itaquara,642,
BA,2916807,Itarantim,1258,
BA,2916856,Itatim,1108,
BA,2916906,Itiruçu,760,
BA,2917003,Itiúba,2321,
BA,2917102,Itororó,1184,
BA,2917201,Ituaçu,1356,
BA,2917300,Ituberá,1570,
BA,2917334,Iuiú,758,
BA,2917359,Jaborandi,664,
BA,2917409,Jacaraci,1048,
BA,2917508,Jacobina,5914,
BA,2917607,Jaguaquara,3167,
BA,2917706,Jaguarari,2477,
BA,2917805,Jaguaripe,1389,
BA,2917904,Jandaíra,624,
BA,2918001,Jequié,11515,
BA,2918100,Jeremoabo,2581,
BA,2918209,Jiquiriçá,1035,
BA,2918308,Jitaúna,1054,
BA,2918357,João Dourado,1815,
BA,2918407,Juazeiro,16187,
BA,2918456,Jucuruçu,737,
BA,2918506,Jussara,1224,
BA,2918555,Jussari,421,
BA,2918605,Jussiape,519,
BA,2918704,Lafaiete Coutinho,311,
BA,2918753,Lagoa Real,995,
BA,2918803,Laje,1620,
BA,2918902,Lajedão,271,
BA,2919009,Lajedinho,261,
BA,2919058,Lajedo do Tabocal,546,
BA,2919108,Lamarão,606,
BA,2919157,Lapão,1885,
BA,2919207,Lauro de Freitas,16627,
BA,2919306,Lençóis,783,
BA,2919405,Licínio de Almeida,859,
BA,2919504,Livramento de Nossa Senhora,3346,
BA,2919553,Luís Eduardo Magalhães,7822,
BA,2919603,Macajuba,747,
BA,2919702,Macarani,1796,
BA,2919801,Macaúbas,2801,
BA,2919900,Macururé,517,
BA,2919926,Madre de Deus,1346,
BA,2919959,Maetinga,510,
BA,2920007,Maiquinique,640,
BA,2920106,Mairi,1241,
BA,2920205,Malhada,1024,
BA,2920304,Malhada de Pedras,621,
BA,2920403,Manoel Vitorino,991,
BA,2920452,Mansidão,1039,
BA,2920502,Maracás,1942,
BA,2920601,Maragogipe,2891,
BA,2920700,Maraú,1889,
BA,2920809,Marcionílio Souza,607,
BA,2920908,Mascote,966,
BA,2921005,Mata de São João,3275,
BA,2921054,Matina,709,
BA,2921104,Medeiros Neto,1635,
BA,2921203,Miguel Calmon,1706,
BA,2921302,Milagres,786,
BA,2921401,Mirangaba,1087,
BA,2921450,Mirante,797,
BA,2921500,Monte Santo,3474,
BA,2921609,Morpará,536,
BA,2921708,Morro do Chapéu,2252,
BA,2921807,Mortugaba,794,
BA,2921906,Mucugê,860,
BA,2922003,Mucuri,2770,
BA,2922052,Mulungu do Morro,888,
BA,2922102,Mundo Novo,1239,
BA,2922201,Muniz Ferreira,605,
BA,2922250,Muquém de São Francisco,718,
BA,2922300,Muritiba,2081,
BA,2922409,Mutuípe,1446,
BA,2922508,Nazaré,2018,
BA,2922607,Nilo Peçanha,908,
BA,2922656,Nordestina,1452,
BA,2922706,Nova Canaã,981,
BA,2922730,Nova Fátima,596,
BA,2922755,Nova Ibiá,552,
BA,2922805,Nova Itarana,526,
BA,2922854,Nova Redenção,524,
BA,2922904,Nova Soure,1708,
BA,2923001,Nova Viçosa,2758,
BA,2923035,Novo Horizonte,844,
BA,2923050,Novo Triunfo,731,
BA,2923100,Olindina,1621,
BA,2923209,Oliveira dos Brejinhos,1416,
BA,2923308,Ouriçangas,545,
BA,2923357,Ourolândia,1463,
BA,2923407,Palmas de Monte Alto,1464,
BA,2923506,Palmeiras,737,
BA,2923605,Paramirim,1471,
BA,2923704,Paratinga,1951,
BA,2923803,Paripiranga,1824,
BA,2923902,Pau Brasil,629,
BA,2924009,Paulo Afonso,7986,
BA,2924058,Pé de Serra,953,
BA,2924108,Pedrão,403,
BA,2924207,Pedro Alexandre,932,
BA,2924306,Piatã,1327,
BA,2924405,Pilão Arcado,2286,
BA,2924504,Pindaí,1068,
BA,2924603,Pindobaçu,1358,
BA,2924652,Pintadas,688,
BA,2924678,Piraí do Norte,818,
BA,2924702,Piripá,686,
BA,2924801,Piritiba,1240,
BA,2924900,Planaltino,633,
BA,2925006,Planalto,1614,
BA,2925105,Poções,3211,
BA,2925204,Pojuca,2420,
BA,2925253,Ponto Novo,1270,
BA,2925303,Porto Seguro,12471,
BA,2925402,Potiraguá,720,
BA,2925501,Prado,2372,
BA,2925600,Presidente Dutra,1275,
BA,2925709,Presidente Jânio Quadros,949,
BA,2925758,Presidente Tancredo Neves,1927,
BA,2925808,Queimadas,1836,
BA,2925907,Quijingue,1821,
BA,2925931,Quixabeira,676,
BA,2925956,Rafael Jambeiro,1314,
BA,2926004,Remanso,2865,
BA,2926103,Retirolândia,1005,
BA,2926202,Riachão das Neves,1539,
BA,2926301,Riachão do Jacuípe,2409,
BA,2926400,Riacho de Santana,2186,
BA,2926509,Ribeira do Amparo,974,
BA,2926608,Ribeira do Pombal,3677,
BA,2926657,Ribeirão do Largo,741,
BA,2926707,Rio de Contas,926,
BA,2926806,Rio do Antônio,928,
BA,2926905,Rio do Pires,742,
BA,2927002,Rio Real,2529,
BA,2927101,Rodelas,670,
BA,2927200,Ruy Barbosa,1905,
BA,2927309,Salinas da Margarida,1109,
BA,2927408,Salvador,182204,
BA,2927507,Santa Bárbara,1534,
BA,2927606,Santa Brígida,1062,
BA,2927705,Santa Cruz Cabrália,2224,
BA,2927804,Santa Cruz da Vitória,337,
BA,2927903,Santa Inês,735,
BA,2928000,Santaluz,2782,
BA,2928059,Santa Luzia,1083,
BA,2928109,Santa Maria da Vitória,2743,
BA,2928208,Santana,1742,
BA,2928307,Santanópolis,596,
BA,2928406,Santa Rita de Cássia,1833,
BA,2928505,Santa Teresinha,721,
BA,2928604,Santo Amaro,4210,
BA,2928703,Santo Antônio de Jesus,7747,
BA,2928802,Santo Estêvão,3371,
BA,2928901,São Desidério,2208,
BA,2928950,São Domingos,654,
BA,2929008,São Félix,841,
BA,2929057,São Félix do Coribe,1105,
BA,2929107,São Felipe,1647,
BA,2929206,São Francisco do Conde,2857,
BA,2929255,São Gabriel,1423,
BA,2929305,São Gonçalo dos Campos,2906,
BA,2929354,São José da Vitória,380,
BA,2929370,São José do Jacuípe,729,
BA,2929404,São Miguel das Matas,804,
BA,2929503,São Sebastião do Passé,3207,
BA,2929602,Sapeaçu,1272,
BA,2929701,Sátiro Dias,1118,
BA,2929750,Saubara,849,
BA,2929800,Saúde,766,
BA,2929909,Seabra,3115,
BA,2930006,Sebastião Laranjeiras,663,
BA,2930105,Senhor do Bonfim,5273,
BA,2930154,Serra do Ramalho,2200,
BA,2930204,Sento Sé,2769,
BA,2930303,Serra Dourada,1298,
BA,2930402,Serra Preta,1263,
BA,2930501,Serrinha,5709,
BA,2930600,Serrolândia,953,
BA,2930709,Simões Filho,8454,
BA,2930758,Sítio do Mato,866,
BA,2930766,Sítio do Quinto,1031,
BA,2930774,Sobradinho,1724,
BA,2930808,Souto Soares,1190,
BA,2930907,Tabocas do Brejo Velho,863,
BA,2931004,Tanhaçu,1628,
BA,2931053,Tanque Novo,1166,
BA,2931103,Tanquinho,555,
BA,2931202,Taperoá,1299,
BA,2931301,Tapiramutá,1014,
BA,2931350,Teixeira de Freitas,10128,
BA,2931400,Teodoro Sampaio,511,
BA,2931509,Teofilândia,1461,
BA,2931608,Teolândia,1059,
BA,2931707,Terra Nova,774,
BA,2931806,Tremedal,1200,
BA,2931905,Tucano,3557,
BA,2932002,Uauá,1900,
BA,2932101,Ubaíra,1378,
BA,2932200,Ubaitaba,1146,
BA,2932309,Ubatã,1079,
BA,2932408,Uibaí,1038,
BA,2932457,Umburanas,965,
BA,2932507,Una,1325,
BA,2932606,Urandi,1051,
BA,2932705,Uruçuca,1550,
BA,2932804,Utinga,1168,
BA,2932903,Valença,6119,
BA,2933000,Valente,1821,
BA,2933059,Várzea da Roça,937,
BA,2933109,Várzea do Poço,548,
BA,2933158,Várzea Nova,947,
BA,2933174,Varzedo,757,
BA,2933208,Vera Cruz,3076,
BA,2933257,Vereda,420,
BA,2933307,Vitória da Conquista,26031,
BA,2933406,Wagner,627,
BA,2933455,Wanderley,938,
BA,2933505,Wenceslau Guimarães,1745,
BA,2933604,Xique-Xique,2741,
BA,2999919,Trancoso,,
BA,2999929,Barcellos,,
BA,2999939,Olivença,,
BA,2999949,Villa Verde,,
