Sigla,Código,Município,2022,
BA,2900108,Abaíra,505,
BA,2900207,Abaré,1176,
BA,2900306,Acajutiba,990,
BA,2900355,Adustina,991,
BA,2900405,Água Fria,1097,
BA,2900504,Érico Cardoso,711,
BA,2900603,Aiquara,309,
BA,2900702,Alagoinhas,13001,
BA,2900801,Alcobaça,1666,
BA,2900900,Almadina,389,
BA,2901007,Amargosa,2863,
BA,2901106,Amélia Rodrigues,2101,
BA,2901155,América Dourada,1022,
BA,2901205,Anagé,1789,
BA,2901304,Andaraí,867,
BA,2901353,Andorinha,1103,
BA,2901403,Angical,916,
BA,2901502,Anguera,821,
BA,2901601,Antas,980,
BA,2901700,Antônio Cardoso,743,
BA,2901809,Antônio Gonçalves,811,
BA,2901908,Aporá,1136,
BA,2901957,Apuarema,467,
BA,2902005,Aracatu,873,
BA,2902054,Araças,836,
BA,2902104,Araci,3251,
BA,2902203,Aramari,736,
BA,2902252,Arataca,662,
BA,2902302,Aratuípe,630,
BA,2902401,Aurelino Leal,726,
BA,2902500,Baianópolis,886,
BA,2902609,Baixa Grande,1247,
BA,2902658,Banzaê,828,
BA,2902708,Barra,3037,
BA,2902807,Barra da Estiva,1771,
BA,2902906,Barra do Choça,2611,
BA,2903003,Barra do Mendes,917,
BA,2903102,Barra do Rocha,383,
BA,2903201,Barreiras,11932,
BA,2903235,Barro Alto,960,
BA,2903276,Barrocas,1141,
BA,2903300,Governador Lomanto Júnior,443,
BA,2903409,Belmonte,1397,
BA,2903508,Belo Campo,1234,
BA,2903607,Biritinga,1032,
BA,2903706,Boa Nova,888,
BA,2903805,Boa Vista do Tupim,1105,
BA,2903904,Bom Jesus da Lapa,4364,
BA,2903953,Bom Jesus da Serra,640,
BA,2904001,Boninal,935,
BA,2904050,Bonito,1058,
BA,2904100,Boquira,1268,
BA,2904209,Botuporã,714,
BA,2904308,Brejões,908,
BA,2904407,Brejolândia,583,
BA,2904506,Brotas de Macaúbas,728,
BA,2904605,Brumado,5387,
BA,2904704,Buerarema,1022,
BA,2904753,Buritirama,1215,
BA,2904803,Caatiba,467,
BA,2904852,Cabaceiras do Paraguaçu,1133,
BA,2904902,Cachoeira,2284,
BA,2905008,Caculé,1607,
BA,2905107,Caém,661,
BA,2905156,Caetanos,736,
BA,2905206,Caetité,3690,
BA,2905305,Cafarnaum,1214,
BA,2905404,Cairu,1342,
BA,2905503,Caldeirão Grande,837,
BA,2905602,Camacan,1548,
BA,2905701,Camaçari,26307,
BA,2905800,Camamu,1863,
BA,2905909,Campo Alegre de Lourdes,1921,
BA,2906006,Campo Formoso,5019,
BA,2906105,Canápolis,642,
BA,2906204,Canarana,1663,
BA,2906303,Canavieiras,2340,
BA,2906402,Candeal,601,
BA,2906501,Candeias,6486,
BA,2906600,Candiba,856,
BA,2906709,Cândido Sales,1814,
BA,2906808,Cansanção,2569,
BA,2906824,Canudos,1072,
BA,2906857,Capela do Alto Alegre,767,
BA,2906873,Capim Grosso,2460,
BA,2906899,Caraíbas,646,
BA,2906907,Caravelas,1395,
BA,2907004,Cardeal da Silva,575,
BA,2907103,Carinhanha,1829,
BA,2907202,Casa Nova,4753,
BA,2907301,Castro Alves,1917,
BA,2907400,Catolândia,200,
BA,2907509,Catu,4362,
BA,2907558,Caturama,603,
BA,2907608,Central,1108,
BA,2907707,Chorrochó,673,
BA,2907806,Cícero Dantas,2183,
BA,2907905,Cipó,1248,
BA,2908002,Coaraci,1216,
BA,2908101,Cocos,1242,
BA,2908200,Conceição da Feira,1742,
BA,2908309,Conceição do Almeida,1245,
BA,2908408,Conceição do Coité,5172,
BA,2908507,Conceição do Jacuípe,2984,
BA,2908606,Conde,1595,
BA,2908705,Condeúba,1255,
BA,2908804,Contendas do Sincorá,268,
BA,2908903,Coração de Maria,2063,
BA,2909000,Cordeiros,535,
BA,2909109,Coribe,965,
BA,2909208,Coronel João Sá,1142,
BA,2909307,Correntina,2219,
BA,2909406,Cotegipe,804,
BA,2909505,Cravolândia,338,
BA,2909604,Crisópolis,1457,
BA,2909703,Cristópolis,903,
BA,2909802,Cruz das Almas,5274,
BA,2909901,Curaçá,2293,
BA,2910008,Dário Meira,687,
BA,2910057,Dias d'Ávila,5977,
BA,2910107,Dom Basílio,824,
BA,2910206,Dom Macedo Costa,367,
BA,2910305,Elísio Medrado,614,
BA,2910404,Encruzilhada,1227,
BA,2910503,Entre Rios,2964,
BA,2910602,Esplanada,2290,
BA,2910701,Euclides da Cunha,4258,
BA,2910727,Eunápolis,8880,
BA,2910750,Fátima,1294,
BA,2910776,Feira da Mata,391,
BA,2910800,Feira de Santana,52144,
BA,2910859,Filadélfia,1264,
BA,2910909,Firmino Alves,321,
BA,2911006,Floresta Azul,752,
BA,2911105,Formosa do Rio Preto,1586,
BA,2911204,Gandu,2516,
BA,2911253,Gavião,300,
